nombre,valor_esperado,valor_producido,coincide,fuente_del_valor_esperado,especificacion
Establecimientos activos 2022,6775,6775,TRUE,"verificacion_consistencia_cruzada_multiplanta_2022.csv (main, script verificar_consistencia_cruzada_multiplanta_2022.R)","N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
Establecimientos con Exposure2022_obreros_est valida (2022),6761,6761,TRUE,verificacion_consistencia_cruzada_multiplanta_2022.csv (main),"N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
Firmas del panel 2022,6186,6186,TRUE,"descriptivos_multiplanta_2022_peso_firmas_empleo.csv (main, script descriptivos_estructura_multiplanta_2022_parte2.R)","N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
Firmas con Exposure2022_obreros valida (2022),6180,6180,TRUE,"descriptivos_comparacion_exposure_establecimiento_vs_firma_2022.csv (main, script comparar_distribucion_exposure_establecimiento_vs_firma.R)","N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
Correlacion Exposure-Bite (Pearson),0.124,0.124,TRUE,"tabla_correlacion_bite_exposure_obreros.csv (main, script diagnosticos_validacion_bite_obreros_eam.R)","N/A -- correlacion bivariada (Pearson/Spearman), no es un modelo de regresion"
Correlacion Exposure-Bite (Spearman),0.159,0.159,TRUE,tabla_correlacion_bite_exposure_obreros.csv (main),"N/A -- correlacion bivariada (Pearson/Spearman), no es un modelo de regresion"
"Atricion: brecha Q5-Q1 2023 (real, pp)",0.57,0.566,TRUE,"atricion_a_tasa_por_quintil_con_se.csv (feature/estimacion-preliminar, script extender_diagnostico_atricion_diferencial.R)",Proporcion binomial por celda quintil-anio; SE analitico sqrt(p(1-p)/n); NO es un modelo de regresion -- no aplica variable de cluster (celdas independientes por construccion)
"Atricion: brecha Q5-Q1 2024 (real, pp)",1.7,1.699,TRUE,atricion_a_tasa_por_quintil_con_se.csv (feature/estimacion-preliminar),Proporcion binomial por celda quintil-anio; SE analitico sqrt(p(1-p)/n); NO es un modelo de regresion -- no aplica variable de cluster (celdas independientes por construccion)
"Atricion: brecha Q5-Q1 2019 (placebo, pp)",3.93,3.926,TRUE,atricion_c_placebo_2017_2018_2019.csv (feature/estimacion-preliminar),Proporcion binomial por celda quintil-anio; SE analitico sqrt(p(1-p)/n); NO es un modelo de regresion -- no aplica variable de cluster (celdas independientes por construccion)
Tendencias paralelas Exposure (con controles) -- empleo_total F,0.767,0.767,TRUE,"tabla_evento_tendencias_2015_2019_exposure.csv (main, script validar_tendencias_paralelas_empleo_exposure_grafico.R)","Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- empleo_total p,0.5463,0.5463,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- empleo_permanente F,1.031,1.031,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- empleo_permanente p,0.3898,0.3898,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- empleo_temporal F,1.556,1.556,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- empleo_temporal p,0.1832,0.1832,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- participacion_permanente F,0.308,0.308,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
Tendencias paralelas Exposure (con controles) -- participacion_permanente p,0.8729,0.8729,TRUE,tabla_evento_tendencias_2015_2019_exposure.csv (main),"Y ~ i(ANIO_F, exposicion_10pp, ref='2015') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion CONTINUA (10pp), estudio de evento anio-a-anio"
"Tendencias paralelas Bite (CLUSTERIZADO, con controles) -- empleo_total F",2.308,2.308,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar commit 397e349 -- CLUSTERIZADO, NO main que aun tiene IID)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- empleo_total p,0.05573,0.05573,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- empleo_permanente F,1.151,1.151,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- empleo_permanente p,0.3305,0.3305,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- empleo_temporal F,1.749,1.749,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- empleo_temporal p,0.1363,0.1363,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- participacion_permanente F,7.709,7.709,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Tendencias paralelas Bite -- participacion_permanente p,3.446e-06,3.446e-06,TRUE,"validacion_tendencias_paralelas_empleo_bite.csv (feature/estimacion-preliminar, clusterizado)","Y ~ anio_lineal + i(quintil_bite, anio_lineal, ref='Q1') | NORDEMP + CIIU4^ANIO_F + DPTO^ANIO_F; cluster=~NORDEMP; exposicion en QUINTILES, tendencia LINEAL (no anio-a-anio) -- MISMOS FE/controles/cluster que Exposure (verificado), forma funcional distinta"
Establecimientos unicos 2008-2024,12621,12621,TRUE,auditar_confiabilidad_nordest.R (main),"N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
Firmas multiplanta 2022 (Multi_f),262,262,TRUE,descriptivos_multiplanta_2022_reconciliacion.csv (main),"N/A -- conteo o agregado descriptivo, no es un modelo de regresion"
